test_query,rank,split,similar_query,similarity_score
Kiwifruit can be used to treat Irritable Bowel Syndrome.,4,val,Kiwifruit and DNA Repair,0.6357388
Kiwifruit can be used to treat Irritable Bowel Syndrome.,5,test,Best Treatment for Constipation,0.5427296
Are worms considered to be a type of insect?,1,test,worms,0.5404248
Are worms considered to be a type of insect?,2,test,insects,0.5160668
Are worms considered to be a type of insect?,3,train,Allergenic Fish Worms,0.44448256
Are worms considered to be a type of insect?,4,val,parasites,0.44061962
Are worms considered to be a type of insect?,5,train,brain parasites,0.42378408
Olive oil has an effect on artery function.,1,test,Olive Oil and Artery Function,0.9344845
Olive oil has an effect on artery function.,2,train,olive oil,0.7075884
Olive oil has an effect on artery function.,3,val,Extra Virgin Olive Oil vs. Nuts,0.7040897
Olive oil has an effect on artery function.,4,train,Extra Virgin Olive Oil,0.68601865
Olive oil has an effect on artery function.,5,train,PREDIMED: Does Eating Nuts Prevent Strokes?,0.6619859
What is peanut butter?,1,train,Is Peanut Butter Good for You?,0.7860662
What is peanut butter?,2,test,peanut butter,0.7859173
What is peanut butter?,3,train,peanuts,0.5297753
What is peanut butter?,4,train,pistachios,0.5261999
What is peanut butter?,5,train,cashews,0.51388437
Avocados have health benefits.,1,val,Are Avocados Good for You?,0.7972996
Avocados have health benefits.,2,test,Are Avocados Good for You?,0.7972995
Avocados have health benefits.,3,val,Are Avocados Bad for You?,0.7697449
Avocados have health benefits.,4,test,avocados,0.74303174
Avocados have health benefits.,5,val,avocado oil,0.6304467
How is lard made?,1,test,lard,0.71417546
How is lard made?,2,train,food additives,0.42417297
How is lard made?,3,train,potassium sorbate,0.42244267
How is lard made?,4,train,sulfites,0.40855563
How is lard made?,5,train,Is Potassium Sorbate Bad for You?,0.4084516
The person is in a coma.,1,test,coma,0.6507931
The person is in a coma.,2,train,Vegan Paralysis,0.42387316
The person is in a coma.,3,train,Preventing Kidney Failure Through Diet,0.3903578
The person is in a coma.,4,train,Treating Kidney Failure Through Diet,0.3811639
The person is in a coma.,5,val,Preventing and Treating Kidney Failure With Diet,0.36360097
There is maple syrup available.,1,test,maple syrup,0.8650887
There is maple syrup available.,2,train,corn syrup,0.6952896
There is maple syrup available.,3,train,high fructose corn syrup,0.6246227
There is maple syrup available.,4,train,Sugar vs. Corn Syrup,0.5795779
There is maple syrup available.,5,train,brown rice syrup,0.5568168
"Pepper and turmeric are added to V8 juice, right?",1,test,What about pepper plus turmeric in V8 juice?,0.8176235
"Pepper and turmeric are added to V8 juice, right?",2,train,Can Indian gooseberries (amla) be cooked without losing the health benefits?,0.48188686
"Pepper and turmeric are added to V8 juice, right?",3,train,Pink Juice with Green Foam,0.48162088
"Pepper and turmeric are added to V8 juice, right?",4,train,Why Pepper Boosts Turmeric Blood Levels,0.46887234
"Pepper and turmeric are added to V8 juice, right?",5,train,Herbal Tea Update: Hibiscus,0.45288956
Diet can be used to counteract the effects of dioxins.,1,test,Counteracting the Effects of Dioxins Through Diet,0.9430351
Diet can be used to counteract the effects of dioxins.,2,train,Diabetes and Dioxins,0.87389386
Diet can be used to counteract the effects of dioxins.,3,train,Dioxins in the Food Supply,0.8290266
Diet can be used to counteract the effects of dioxins.,4,train,dioxins,0.798575
Diet can be used to counteract the effects of dioxins.,5,test,Dioxins Stored in Our Own Fat May Increase Diabetes Risk,0.77838486
Cumin is a spice.,1,test,cumin,0.6987936
Cumin is a spice.,2,train,curry powder,0.5342101
Cumin is a spice.,3,train,coriander,0.5165086
Cumin is a spice.,4,train,spices,0.49816328
Cumin is a spice.,5,test,cinnamon,0.48923048
"Dental X-rays are safe, right?",1,test,Are Dental X-Rays Safe?,0.97501576
"Dental X-rays are safe, right?",2,val,Do Dental X-Rays Cause Brain Tumors?,0.85958564
"Dental X-rays are safe, right?",3,train,X-rays,0.7284626
"Dental X-rays are safe, right?",4,test,Cancer Risk From CT Scan Radiation,0.67709106
"Dental X-rays are safe, right?",5,val,Dealing With Air Travel Radiation Exposure,0.6730199
What is saturated fat?,1,test,saturated fat,0.7515114
What is saturated fat?,2,train,hydrogenated fats,0.60012484
What is saturated fat?,3,train,Lipotoxicity: How Saturated Fat Raises Blood Sugar,0.58224654
What is saturated fat?,4,val,saturate fat,0.5651855
What is saturated fat?,5,train,monounsaturated fats,0.5592213
Artificial colors have negative effects on health.,1,test,Are Artificial Colors Bad for You?,0.8989087
Artificial colors have negative effects on health.,2,val,Are Artificial Colors Harmful?,0.86515
Artificial colors have negative effects on health.,3,train,Does Caramel Color Cause Cancer?,0.7882854
Artificial colors have negative effects on health.,4,test,Artificial Food Colors and ADHD,0.75282407
Artificial colors have negative effects on health.,5,train,artificial colors,0.7394867
Can B vitamins prevent brain loss?,1,test,Preventing Brain Loss with B Vitamins?,0.93866205
Can B vitamins prevent brain loss?,2,train,Are there any risks of excess vitamin B12 consumption?,0.5490226
Can B vitamins prevent brain loss?,3,val,Reversing Cognitive Decline,0.5447734
Can B vitamins prevent brain loss?,4,train,vitamin B12,0.50757176
Can B vitamins prevent brain loss?,5,train,Vitamin B12 Necessary for Arterial Health,0.507113
Can Probiotics prevent the Common Cold?,1,test,Preventing the Common Cold with Probiotics?,0.9657155
Can Probiotics prevent the Common Cold?,2,train,Probiotics During Cold Season?,0.7861808
Can Probiotics prevent the Common Cold?,3,train,Can Gargling Prevent The Common Cold?,0.7191746
Can Probiotics prevent the Common Cold?,4,train,Preventing and Treating Diarrhea with Probiotics,0.7091851
Can Probiotics prevent the Common Cold?,5,train,Probiotics and Diarrhea,0.69163674
Is there any update on the scary in vitro avocado data?,1,test,Any update on the scary in vitro avocado data?,0.9925686
Is there any update on the scary in vitro avocado data?,2,val,Are Avocados Bad for You?,0.55533546
Is there any update on the scary in vitro avocado data?,3,val,Are Avocados Good for You?,0.48156697
Is there any update on the scary in vitro avocado data?,4,test,Are Avocados Good for You?,0.48156685
Is there any update on the scary in vitro avocado data?,5,train,The Safer Cinnamon,0.47526032
The risks of alcohol compared to its benefits should be evaluated.,1,test,Alcohol Risks vs. Benefits,0.74350965
The risks of alcohol compared to its benefits should be evaluated.,2,test,Breast Cancer & Alcohol: How Much is Safe?,0.53594255
The risks of alcohol compared to its benefits should be evaluated.,3,val,Breast Cancer and Alcohol: How Much is Safe?,0.53463674
The risks of alcohol compared to its benefits should be evaluated.,4,train,Breast Cancer Risk: Red Wine vs. White Wine,0.49680915
The risks of alcohol compared to its benefits should be evaluated.,5,val,Coffee and Mortality,0.49541247
Turnips are a type of vegetable.,1,test,turnips,0.7906796
Turnips are a type of vegetable.,2,train,cruciferous vegetables,0.5461682
Turnips are a type of vegetable.,3,train,radishes,0.54251456
Turnips are a type of vegetable.,4,train,Veggiecation,0.5387883
Turnips are a type of vegetable.,5,val,cabbage,0.5163957
Pork tapeworms can cause chronic headaches.,1,test,Chronic Headaches and Pork Tapeworms,0.8686992
Pork tapeworms can cause chronic headaches.,2,test,Chronic Headaches and Pork Parasites,0.7869522
Pork tapeworms can cause chronic headaches.,3,train,Pork Tapeworms on the Brain,0.7518054
Pork tapeworms can cause chronic headaches.,4,train,Brain Parasites in Meat,0.7103448
Pork tapeworms can cause chronic headaches.,5,train,Tongue Worm in Human Eye,0.66121584
There is an issue with hormone functioning.,1,train,Meat Hormones & Female Infertility,0.6945907
There is an issue with hormone functioning.,2,test,hormonal dysfunction,0.6925578
There is an issue with hormone functioning.,3,train,Plant-Based Bioidentical Hormones,0.6467084
There is an issue with hormone functioning.,4,train,Are Bioidentical Hormones Safe?,0.64640945
There is an issue with hormone functioning.,5,train,Soy Hormones & Male Infertility,0.6015614
The goal is to stop heart disease in childhood.,1,test,Stopping Heart Disease in Childhood,0.8046028
The goal is to stop heart disease in childhood.,2,test,Heart Disease Starts in Childhood,0.68927336
The goal is to stop heart disease in childhood.,3,train,How to Prevent Prediabetes in Children,0.62670016
The goal is to stop heart disease in childhood.,4,train,Preventing Childhood Allergies,0.6173618
The goal is to stop heart disease in childhood.,5,train,Does a Drink Of Water Make Children Smarter?,0.519702
Apple cider vinegars health benefits include advantages for ones well-being.,1,test,Is apple cider vinegar good for you?,0.81938916
Apple cider vinegars health benefits include advantages for ones well-being.,2,train,Is Vinegar Good For You?,0.7333475
Apple cider vinegars health benefits include advantages for ones well-being.,3,train,vinegar,0.5558506
Apple cider vinegars health benefits include advantages for ones well-being.,4,test,Apple Juice May Be Worse Than Sugar Water,0.50843585
Apple cider vinegars health benefits include advantages for ones well-being.,5,val,How to Make Your Own Fruit and Vegetable Wash,0.5018687
What is the recommended way to take probiotics?,1,test,How Should I Take Probiotics?,0.9484565
What is the recommended way to take probiotics?,2,val,"Should Probiotics Be Taken Before, During, or After Meals?",0.7116798
What is the recommended way to take probiotics?,3,train,What is a good source of probiotics?,0.657524
What is the recommended way to take probiotics?,4,test,Preventing the Common Cold with Probiotics?,0.6481261
What is the recommended way to take probiotics?,5,train,Probiotics and Diarrhea,0.63599795
beans from the broad bean plant,1,train,U.S. Dry Bean Council,0.74992937
beans from the broad bean plant,2,train,broad beans,0.72726667
beans from the broad bean plant,3,val,black beans,0.72628593
beans from the broad bean plant,4,train,The Best Bean,0.70135784
beans from the broad bean plant,5,train,lima beans,0.6867528
Cholesterol statin drugs are responsible for causing breast cancer.,1,test,Do Cholesterol Statin Drugs Cause Breast Cancer?,0.91207695
Cholesterol statin drugs are responsible for causing breast cancer.,2,train,Statin Cholesterol Drugs and Invasive Breast Cancer,0.8358109
Cholesterol statin drugs are responsible for causing breast cancer.,3,train,Statin Muscle Toxicity,0.6514211
Cholesterol statin drugs are responsible for causing breast cancer.,4,train,Breast Cancer Cells Feed on Cholesterol,0.6476377
Cholesterol statin drugs are responsible for causing breast cancer.,5,train,New Cholesterol Fighters,0.6377375
Crohns Disease can be treated through dietary considerations.,1,train,Treating Crohn’s Disease With Diet,0.74989
Crohns Disease can be treated through dietary considerations.,2,train,Preventing Crohn’s Disease With Diet,0.73732245
Crohns Disease can be treated through dietary considerations.,3,test,Dietary Treatment of Crohn's Disease,0.6850842
Crohns Disease can be treated through dietary considerations.,4,test,Preventing Ulcerative Colitis with Diet,0.6788603
Crohns Disease can be treated through dietary considerations.,5,train,inflammatory bowel disease,0.56496567
The public is being buttered up by the Saturated Fat Studies.,1,test,The Saturated Fat Studies: Buttering Up the Public,0.76476383
The public is being buttered up by the Saturated Fat Studies.,2,val,The Saturated Fat Studies: Set Up to Fail,0.68354774
The public is being buttered up by the Saturated Fat Studies.,3,train,Lipotoxicity: How Saturated Fat Raises Blood Sugar,0.5789063
The public is being buttered up by the Saturated Fat Studies.,4,train,We Can End the Heart Disease Epidemic,0.5500332
The public is being buttered up by the Saturated Fat Studies.,5,train,Trans Fat In Meat And Dairy,0.5422275
Fenugreek can be used to increase muscle strength.,1,test,Increasing Muscle Strength with Fenugreek,0.889316
Fenugreek can be used to increase muscle strength.,2,val,Side-Effect of Fenugreek Consumption,0.65051615
Fenugreek can be used to increase muscle strength.,3,test,fenugreek,0.637921
Fenugreek can be used to increase muscle strength.,4,test,Benefits of Fenugreek Seeds,0.55459213
Fenugreek can be used to increase muscle strength.,5,val,Reducing Muscle Fatigue With Citrus,0.54733646
A diet that is based on plants.,1,train,Plant-Based Atkins Diet,0.6906488
A diet that is based on plants.,2,test,plant-based diet,0.6603962
A diet that is based on plants.,3,train,plant-based diets,0.64767027
A diet that is based on plants.,4,test,low-carb diets,0.6261281
A diet that is based on plants.,5,train,vegans,0.5719184
Cadaverine is a chemical compound.,1,test,cadaverine,0.6933056
Cadaverine is a chemical compound.,2,val,Autopsy of Chicken Nuggets,0.43448246
Cadaverine is a chemical compound.,3,train,cadavers,0.42835584
Cadaverine is a chemical compound.,4,val,formaldehyde,0.41334748
Cadaverine is a chemical compound.,5,val,New Corpse Smell,0.40988392
The frequency of bowel movements.,1,test,Bowel Movement Frequency,0.79424745
The frequency of bowel movements.,2,train,How Many Bowel Movements Should You Have Every Day?,0.5997548
The frequency of bowel movements.,3,train,bowel movements,0.5644648
The frequency of bowel movements.,4,train,Bristol Stool Scale,0.5572065
The frequency of bowel movements.,5,test,Stool Size and Breast Cancer Risk,0.50739723
What is meant by antinutrients?,1,test,antinutrients,0.5617094
What is meant by antinutrients?,2,train,Might too many antioxidants cause cancer?,0.47581854
What is meant by antinutrients?,3,train,glyconutrients,0.45697352
What is meant by antinutrients?,4,train,Food Antioxidants and Cancer,0.43351346
What is meant by antinutrients?,5,train,phytonutrients,0.4172572
The effects of dioxins are counteracted through diet.,1,test,Counteracting the Effects of Dioxins Through Diet,0.9272964
The effects of dioxins are counteracted through diet.,2,train,Diabetes and Dioxins,0.8438188
The effects of dioxins are counteracted through diet.,3,train,Dioxins in the Food Supply,0.76931304
The effects of dioxins are counteracted through diet.,4,test,Dioxins Stored in Our Own Fat May Increase Diabetes Risk,0.75933456
The effects of dioxins are counteracted through diet.,5,train,dioxins,0.74669445
Chicken Nuggets contain what ingredients exactly?,1,test,What is Actually in Chicken Nuggets?,0.9174094
Chicken Nuggets contain what ingredients exactly?,2,train,What Is Really in Hot Dogs?,0.5382418
Chicken Nuggets contain what ingredients exactly?,3,train,What's in a Burger?,0.5254819
Chicken Nuggets contain what ingredients exactly?,4,test,veggie chicken,0.5073184
Chicken Nuggets contain what ingredients exactly?,5,train,food additives,0.46763915
Splenda is a low-calorie sweetener.,1,test,Splenda,0.69440764
Splenda is a low-calorie sweetener.,2,train,What's the best low calorie sweetener?,0.68831635
Splenda is a low-calorie sweetener.,3,train,Erythritol May Be a Sweet Antioxidant,0.66536355
Splenda is a low-calorie sweetener.,4,test,The Healthiest Sweetener,0.64673436
Splenda is a low-calorie sweetener.,5,train,"Is There a Safe, Low-Calorie Sweetener?",0.6146238
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,1,test,BPA Plastic and Male Sexual Dysfunction,0.90548134
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,2,train,Is the plastic chemical BPA really harmful to your health?,0.6974839
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,3,train,Dietary Pollutants May Affect Testosterone Levels,0.64801514
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,4,val,BPA,0.6275003
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,5,train,phthalates,0.61929095
Kidney beans are a type of legume.,1,test,kidney beans,0.718431
Kidney beans are a type of legume.,2,train,U.S. Dry Bean Council,0.6128205
Kidney beans are a type of legume.,3,train,"Beans, Beans, Good for Your Heart",0.6056081
Kidney beans are a type of legume.,4,train,Pinto Beans vs. Black Beans,0.60467404
Kidney beans are a type of legume.,5,val,black beans,0.59036875
What is Canker sores.,1,test,canker sores,0.8742962
What is Canker sores.,2,train,aphthous ulcers,0.5222432
What is Canker sores.,3,train,stomach ulcers,0.46066993
What is Canker sores.,4,train,leaky gut theory,0.4451061
What is Canker sores.,5,train,lichen planus,0.43205547
Coconut milks nutritional benefits are good for your health.,1,test,Is Coconut Milk Good For You?,0.9167291
Coconut milks nutritional benefits are good for your health.,2,train,coconut milk,0.77824557
Coconut milks nutritional benefits are good for your health.,3,train,Is Coconut Oil Good For You?,0.7226324
Coconut milks nutritional benefits are good for your health.,4,train,Is Coconut Oil Bad For You?,0.71193254
Coconut milks nutritional benefits are good for your health.,5,train,Does Coconut Oil Clog Arteries?,0.6672857
What is Endocrine disruptors?,1,test,endocrine disruptors,0.86173713
What is Endocrine disruptors?,2,train,Alkylphenol Endocrine Disruptors and Allergies,0.65941674
What is Endocrine disruptors?,3,test,Alkylphenol Endocrine Disruptors and Allergies,0.6594166
What is Endocrine disruptors?,4,val,Dietary Sources of Alkylphenol Endocrine Disruptors,0.6436428
What is Endocrine disruptors?,5,train,xenoestrogens,0.6098356
What is leucine?,1,test,leucine,0.812938
What is leucine?,2,val,Living Longer by Reducing Leucine Intake,0.5359312
What is leucine?,3,train,cruciferous vegetables,0.4533339
What is leucine?,4,train,Flesh and Fructose,0.4293975
What is leucine?,5,train,"If Fructose is Bad, What About Fruit?",0.42687398
Is oxen meat available?,1,test,oxen meat,0.7591792
Is oxen meat available?,2,train,moose meat,0.48523986
Is oxen meat available?,3,train,reindeer meat,0.47889754
Is oxen meat available?,4,train,kangaroo meat,0.4246809
Is oxen meat available?,5,train,rabbit meat,0.42349777
African-Americans are being referred to.,1,val,African Americans,0.6933896
African-Americans are being referred to.,2,test,African-American,0.5882081
African-Americans are being referred to.,3,test,Native Americans,0.44497573
African-Americans are being referred to.,4,train,ethnicity,0.40405643
African-Americans are being referred to.,5,train,Africa,0.3318208
CT scan radiation increases the risk of developing cancer.,1,test,Cancer Risk From CT Scan Radiation,0.9059186
CT scan radiation increases the risk of developing cancer.,2,val,Do Dental X-Rays Cause Brain Tumors?,0.7757261
CT scan radiation increases the risk of developing cancer.,3,val,Dealing With Air Travel Radiation Exposure,0.7372834
CT scan radiation increases the risk of developing cancer.,4,train,Mediating Radiation Exposure From Airline Travel,0.73427975
CT scan radiation increases the risk of developing cancer.,5,test,Are Dental X-Rays Safe?,0.71297896
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,1,test,Can antioxidant-rich spices counteract the effects of a high-fat meal?,0.97526014
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,2,train,Antioxidants in a Pinch: Dried Herbs and Spices,0.571447
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,3,train,Antioxidant Rich Foods With Every Meal,0.5586754
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,4,train,Bulking Up on Antioxidants,0.5363365
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,5,train,Hibiscus Tea: The Best Beverage?,0.5321456
There is a fish fog.,1,test,Fish Fog,0.91829234
There is a fish fog.,2,train,puffer fish,0.51404434
There is a fish fog.,3,train,Is Fish Oil Just Snake Oil?,0.49076235
There is a fish fog.,4,val,bluefish,0.475806
There is a fish fog.,5,train,algae,0.46923906
Cocaine is a drug.,1,test,cocaine,0.69166374
Cocaine is a drug.,2,train,tobacco,0.39783818
Cocaine is a drug.,3,val,addiction,0.37900645
Cocaine is a drug.,4,train,drug testing,0.36410522
Cocaine is a drug.,5,train,Whole Grains May Work As Well As Drugs,0.3631107
What happens if we add both pepper and turmeric to V8 juice?,1,test,What about pepper plus turmeric in V8 juice?,0.8387537
What happens if we add both pepper and turmeric to V8 juice?,2,train,Why Pepper Boosts Turmeric Blood Levels,0.48080057
What happens if we add both pepper and turmeric to V8 juice?,3,train,The Fruit Whose Juice Is Healthier,0.42969668
What happens if we add both pepper and turmeric to V8 juice?,4,train,Can Indian gooseberries (amla) be cooked without losing the health benefits?,0.42138553
What happens if we add both pepper and turmeric to V8 juice?,5,train,Coffee vs. Tea,0.4178825
Viral infections are communicable diseases caused by viruses.,1,train,How Animal Proteins May Trigger Autoimmune Disease,0.65633744
Viral infections are communicable diseases caused by viruses.,2,train,Handling Poultry Tied to Liver/Pancreatic Cancers,0.6306239
Viral infections are communicable diseases caused by viruses.,3,train,cancer viruses,0.61976206
Viral infections are communicable diseases caused by viruses.,4,val,poultry viruses,0.5957289
Viral infections are communicable diseases caused by viruses.,5,val,Wart Cancer Viruses in Food,0.58793813
Walnut oil is what this query is about.,1,test,walnut oil,0.80723953
Walnut oil is what this query is about.,2,train,hazelnut oil,0.6890961
Walnut oil is what this query is about.,3,train,almond oil,0.6886413
Walnut oil is what this query is about.,4,train,corn oil,0.6431072
Walnut oil is what this query is about.,5,train,seal oil,0.6389405
Plants that are toxic.,1,test,poisonous plants,0.7431645
Plants that are toxic.,2,train,Plants vs. Pesticides,0.6972405
Plants that are toxic.,3,train,natural toxins,0.6137367
Plants that are toxic.,4,train,The Safer Cinnamon,0.52831817
Plants that are toxic.,5,train,hepatotoxins,0.52690613
What is Dragons Blood?,1,train,dragon's blood,0.72510266
What is Dragons Blood?,2,test,Dragon's Blood,0.72510266
What is Dragons Blood?,3,train,blood-letting,0.41328776
What is Dragons Blood?,4,train,Why Do Plant-Based Diets Help Rheumatoid Arthritis?,0.363781
What is Dragons Blood?,5,train,brain disease,0.35449106
Junk food is a term used to describe unhealthy or low-nutrient food.,1,test,junk food,0.56162155
Junk food is a term used to describe unhealthy or low-nutrient food.,2,test,ultra-processed foods,0.49151492
Junk food is a term used to describe unhealthy or low-nutrient food.,3,train,fast food,0.48911268
Junk food is a term used to describe unhealthy or low-nutrient food.,4,train,"If Fructose is Bad, What About Fruit?",0.4680736
Junk food is a term used to describe unhealthy or low-nutrient food.,5,train,Mothers Overestimate Dietary Quality,0.43072352
Dragon fruit is good for you.,1,test,Is Dragon Fruit Good For You?,0.85860336
Dragon fruit is good for you.,2,train,Best Berries,0.67911416
Dragon fruit is good for you.,3,train,Best Fruit Juice,0.6787769
Dragon fruit is good for you.,4,test,Better Than Goji Berries,0.65260327
Dragon fruit is good for you.,5,train,Are Goji Berries Good for You?,0.62173164
Apple juice could potentially have more negative health effects compared to sugar water.,1,test,Apple Juice May Be Worse Than Sugar Water,0.848136
Apple juice could potentially have more negative health effects compared to sugar water.,2,train,The Fruit Whose Juice Is Healthier,0.6167276
Apple juice could potentially have more negative health effects compared to sugar water.,3,train,apple juice,0.5488049
Apple juice could potentially have more negative health effects compared to sugar water.,4,train,Alzheimer's and Apple Juice,0.5381651
Apple juice could potentially have more negative health effects compared to sugar water.,5,train,"Is There a Safe, Low-Calorie Sweetener?",0.5363914
Meat purge and cola share commonalities.,1,test,What Do Meat Purge and Cola Have in Common?,0.8166239
Meat purge and cola share commonalities.,2,val,Phosphate Additives in Meat Purge and Cola,0.64879745
Meat purge and cola share commonalities.,3,train,The Best Detox,0.49565175
Meat purge and cola share commonalities.,4,train,The Best Detox,0.49565175
Meat purge and cola share commonalities.,5,train,Don't Forget Fiber,0.4943984
What is Domoic acid?,1,test,domoic acid,0.7936198
What is Domoic acid?,2,train,What about the oxalic acid in beets?,0.4537226
What is Domoic acid?,3,test,ascorbic acid,0.41717526
What is Domoic acid?,4,train,lauric acid,0.41582298
What is Domoic acid?,5,val,methylmalonic acid,0.40469962
The duration needed to detox from fish before pregnancy is how long?,1,test,How Long to Detox From Fish Before Pregnancy?,0.951787
The duration needed to detox from fish before pregnancy is how long?,2,train,How Long to Avoid Fish Before Conception?,0.79125464
The duration needed to detox from fish before pregnancy is how long?,3,test,Mercury Testing Recommended Before Pregnancy,0.7110697
The duration needed to detox from fish before pregnancy is how long?,4,train,How Fast Can Children Detoxify from PCBs?,0.6968062
The duration needed to detox from fish before pregnancy is how long?,5,train,The Wrong Way to Detox,0.68933415
Blood clots are what the query is referring to.,1,test,blood clots,0.70786464
Blood clots are what the query is referring to.,2,train,platelets,0.4364606
Blood clots are what the query is referring to.,3,train,angiography,0.3835198
Blood clots are what the query is referring to.,4,train,varicose veins,0.38240936
Blood clots are what the query is referring to.,5,train,angina,0.3747086
Blood clots can form in the body.,1,test,blood clots,0.8264465
Blood clots can form in the body.,2,train,Cholesterol Crystals May Tear Through Our Artery Lining,0.566976
Blood clots can form in the body.,3,train,Vitamin B12 Necessary for Arterial Health,0.53662235
Blood clots can form in the body.,4,val,pulmonary embolism,0.529422
Blood clots can form in the body.,5,test,aneurysm,0.52670705
There is a presence of liver disease.,1,test,liver disease,0.82579195
There is a presence of liver disease.,2,train,liver health,0.7806723
There is a presence of liver disease.,3,val,fatty liver disease,0.7276218
There is a presence of liver disease.,4,train,cirrhosis,0.7056551
There is a presence of liver disease.,5,train,nonalcoholic fatty liver disease,0.6784685
You can get rid of excess estrogen.,1,test,Relieving Yourself of Excess Estrogen,0.7291772
You can get rid of excess estrogen.,2,train,Plant-Based Bioidentical Hormones,0.6443176
You can get rid of excess estrogen.,3,train,Meat Hormones & Female Infertility,0.63214135
You can get rid of excess estrogen.,4,train,Are Bioidentical Hormones Safe?,0.6135293
You can get rid of excess estrogen.,5,train,Dairy Estrogen and Male Fertility,0.5855036
"Serotonin is a hormone that affects mood, appetite, and sleep.",1,test,serotonin,0.7688955
"Serotonin is a hormone that affects mood, appetite, and sleep.",2,val,Prozac,0.6061662
"Serotonin is a hormone that affects mood, appetite, and sleep.",3,train,Plant-Based Diet & Mood,0.5851549
"Serotonin is a hormone that affects mood, appetite, and sleep.",4,train,The Best Way to Boost Serotonin,0.55419016
"Serotonin is a hormone that affects mood, appetite, and sleep.",5,train,How To Boost Serotonin Naturally,0.5489338
What is the function of cortisol?,1,test,cortisol,0.77809817
What is the function of cortisol?,2,train,anxiety,0.47274828
What is the function of cortisol?,3,test,serotonin,0.46552393
What is the function of cortisol?,4,train,Lavender for Generalized Anxiety Disorder,0.45148668
What is the function of cortisol?,5,train,Gut Feelings: Probiotics and Mental Health,0.4477356
Different techniques used for preparing food.,1,test,cooking methods,0.6582075
Different techniques used for preparing food.,2,test,ultra-processed foods,0.48773423
Different techniques used for preparing food.,3,train,food additives,0.4848555
Different techniques used for preparing food.,4,train,Best Cooking Method,0.47609347
Different techniques used for preparing food.,5,train,pressure cooking,0.4507644
"Another study demonstrated that carnitine had positive effects on heart health, right?",1,test,Didn't another study show carnitine was good for the heart?,0.93188286
"Another study demonstrated that carnitine had positive effects on heart health, right?",2,train,carnitine,0.68726003
"Another study demonstrated that carnitine had positive effects on heart health, right?",3,train,Avoid Carnitine and Lethicin Supplements,0.659273
"Another study demonstrated that carnitine had positive effects on heart health, right?",4,train,"Eggs, Cigarettes, and Atherosclerosis",0.59559304
"Another study demonstrated that carnitine had positive effects on heart health, right?",5,train,Why Are Eggs Linked to Cancer Progression?,0.59428865
Tumor supply lines are cut off through anti-angiogenesis.,1,test,Anti-Angiogenesis: Cutting Off Tumor Supply Lines,0.90160286
Tumor supply lines are cut off through anti-angiogenesis.,2,train,antiangiogenesis,0.7558466
Tumor supply lines are cut off through anti-angiogenesis.,3,train,angiogenesis,0.6968888
Tumor supply lines are cut off through anti-angiogenesis.,4,train,A Low Methionine Diet May Help Starve Cancer Cells,0.64079654
Tumor supply lines are cut off through anti-angiogenesis.,5,train,Starving Cancer with Methionine Restriction,0.6125353
Believing in any scientific study is possible.,1,test,How can you believe in any scientific study?,0.78091013
Believing in any scientific study is possible.,2,val,Richard Dawkins,0.42175037
Believing in any scientific study is possible.,3,train,Heart disease: there is a cure,0.40140897
Believing in any scientific study is possible.,4,train,The Real Paleo Diet,0.3802901
Believing in any scientific study is possible.,5,train,What about the INTERHEART study on heart attack risk factors?,0.37647668
The inability to hear.,1,test,deafness,0.7111827
The inability to hear.,2,train,ear health,0.65269965
The inability to hear.,3,train,speech impairment,0.6515826
The inability to hear.,4,test,hearing,0.6446547
The inability to hear.,5,train,inner ear cancer,0.53519493
Coconut milk has beneficial effects on health.,1,test,Is Coconut Milk Good For You?,0.9157441
Coconut milk has beneficial effects on health.,2,train,coconut milk,0.77181035
Coconut milk has beneficial effects on health.,3,train,Is Coconut Oil Bad For You?,0.75932324
Coconut milk has beneficial effects on health.,4,train,Is Coconut Oil Good For You?,0.7401675
Coconut milk has beneficial effects on health.,5,train,Does Coconut Oil Clog Arteries?,0.72293586
Broccoli enhances liver function for an extended period.,1,test,Prolonged Liver Function Enhancement From Broccoli,0.9141751
Broccoli enhances liver function for an extended period.,2,train,Liver Toxicity Due to Broccoli Juice?,0.7596197
Broccoli enhances liver function for an extended period.,3,train,Broccoli Boosts Liver Detox Enzymes,0.7453068
Broccoli enhances liver function for an extended period.,4,train,Preventing Liver Cancer with Coffee,0.6812802
Broccoli enhances liver function for an extended period.,5,train,How Much Broccoli Is Too Much?,0.63846374
Subsidies are financial assistance given by the government or a governing body to support certain industries or individuals.,1,test,subsidies,0.7317531
Subsidies are financial assistance given by the government or a governing body to support certain industries or individuals.,2,train,Taxpayer Subsidies for Unhealthy Foods,0.6864234
