test_query,most_similar_beir_queries,similarity_scores,max_similarity,mean_similarity
Crohns Disease can be treated through dietary considerations.,"['Treating Crohn’s Disease With Diet', 'Preventing Crohn’s Disease With Diet', ""Dietary Treatment of Crohn's Disease""]",[0.9077095  0.88753533 0.8796556 ],0.9077095,0.1280636
The public is being buttered up by the Saturated Fat Studies.,"['The Saturated Fat Studies: Buttering Up the Public', 'The Saturated Fat Studies: Set Up to Fail', 'Industry Influence on Our Dietary Guidelines']",[0.8337931  0.76670283 0.58650625],0.8337931,0.1512486
Fenugreek can be used to increase muscle strength.,"['Increasing Muscle Strength with Fenugreek', 'Benefits of Fenugreek Seeds', 'Side-Effect of Fenugreek Consumption']",[0.9093325  0.710052   0.63798964],0.9093325,0.14501506
A diet that is based on plants.,"['plant-based diet', 'plant-based diets', 'How Plant-Based Diets May Extend Our Lives']",[0.78467596 0.77589786 0.62120354],0.78467596,0.2188786
Cadaverine is a chemical compound.,"['cadaverine', 'cadavers', 'cadmium']",[0.7900299  0.52387226 0.5123683 ],0.7900299,0.09405997
The frequency of bowel movements.,"['Bowel Movement Frequency', 'bowel movements', 'Bowel movements: the scoop on poop']",[0.86285377 0.7406336  0.68342376],0.86285377,0.13974018
What is meant by antinutrients?,"['antinutrients', 'phytonutrients', 'vitamins']",[0.88252246 0.6457926  0.62856936],0.88252246,0.17514503
The effects of dioxins are counteracted through diet.,"['Counteracting the Effects of Dioxins Through Diet', 'Dioxins in the Food Supply', 'Diabetes and Dioxins']",[0.94323575 0.72848034 0.69272196],0.94323575,0.17065996
Chicken Nuggets contain what ingredients exactly?,"['What is Actually in Chicken Nuggets?', 'What Is Really in Hot Dogs?', ""What's in a Burger?""]",[0.93889785 0.61606973 0.59142303],0.93889785,0.16922143
Splenda is a low-calorie sweetener.,"[""What's the best low calorie sweetener?"", 'Is There a Safe, Low-Calorie Sweetener?', 'Splenda']",[0.6846978  0.68406403 0.66873664],0.6846978,0.135749
Bisphenol A (BPA) in plastic can cause male sexual dysfunction.,"['BPA Plastic and Male Sexual Dysfunction', 'Is the plastic chemical BPA really harmful to your health?', 'BPA']",[0.93101597 0.6690999  0.57951176],0.93101597,0.12807801
Kidney beans are a type of legume.,"['kidney beans', 'legumes', 'lima beans']",[0.75266814 0.6964101  0.56624943],0.75266814,0.12639105
What is Canker sores.,"['canker sores', 'aphthous ulcers', 'warts']",[0.86409795 0.48813137 0.41856146],0.86409795,0.06755301
Coconut milks nutritional benefits are good for your health.,"['Is Coconut Milk Good For You?', 'Is Coconut Oil Good For You?', 'coconut milk']",[0.8710173 0.6475295 0.6344199],0.8710173,0.056121487
What is Endocrine disruptors?,"['endocrine disruptors', 'xenoestrogens', 'carcinogens']",[0.8937212 0.5735878 0.5178722],0.8937212,0.16245855
What is leucine?,"['leucine', 'Living Longer by Reducing Leucine Intake', 'leptin']",[0.8561267  0.58654064 0.51468164],0.8561267,0.15930356
Is oxen meat available?,"['oxen meat', 'reindeer meat', 'red meat']",[0.798844   0.54516435 0.5103009 ],0.798844,0.12706871
African-Americans are being referred to.,"['African Americans', 'African-American', 'Native Americans']",[0.7282485  0.66982037 0.44661254],0.7282485,0.05188274
CT scan radiation increases the risk of developing cancer.,"['Cancer Risk From CT Scan Radiation', 'How Risky are CT Scans?', 'Do Dental X-Rays Cause Brain Tumors?']",[0.89124715 0.67735827 0.60667044],0.89124715,0.0732511
Do antioxidant-rich spices have the ability to offset the effects of a high-fat meal?,"['Can antioxidant-rich spices counteract the effects of a high-fat meal?', 'Antioxidants in a Pinch: Dried Herbs and Spices', 'Antioxidant Rich Foods With Every Meal']",[0.985447   0.64132637 0.57491344],0.985447,0.13752614
There is a fish fog.,"['Fish Fog', 'fish', 'puffer fish']",[0.9001327  0.56464064 0.4880535 ],0.9001327,0.05526176
Cocaine is a drug.,"['cocaine', 'drug testing', 'addiction']",[0.68896997 0.4129654  0.40253192],0.68896997,0.07813146
What happens if we add both pepper and turmeric to V8 juice?,"['What about pepper plus turmeric in V8 juice?', 'Why Pepper Boosts Turmeric Blood Levels', 'turmeric']",[0.90695274 0.57711905 0.48929438],0.90695274,0.12041605
Viral infections are communicable diseases caused by viruses.,"['viral infections', 'cancer viruses', 'wart viruses']",[0.72745234 0.586172   0.52224857],0.72745234,0.050998732
Walnut oil is what this query is about.,"['walnut oil', 'almond oil', 'hazelnut oil']",[0.85379577 0.6845473  0.68433607],0.85379577,0.1745295
Plants that are toxic.,"['poisonous plants', 'Plants vs. Pesticides', 'natural toxins']",[0.8866856  0.60815156 0.5951537 ],0.8866856,0.18801412
What is Dragons Blood?,"[""dragon's blood"", ""Dragon's Blood"", 'blood-letting']",[0.7038709  0.7038709  0.50231284],0.7038709,0.13504954
Junk food is a term used to describe unhealthy or low-nutrient food.,"['junk food', 'processed foods', 'Taxpayer Subsidies for Unhealthy Foods']",[0.67885065 0.4866759  0.44802725],0.67885065,0.102100864
Dragon fruit is good for you.,"['Is Dragon Fruit Good For You?', 'Are Star Fruit Good For You?', 'The Healthiest Fruits']",[0.9122088  0.6370126  0.63630456],0.9122088,0.18915932
Apple juice could potentially have more negative health effects compared to sugar water.,"['Apple Juice May Be Worse Than Sugar Water', 'The Fruit Whose Juice Is Healthier', ""Alzheimer's and Apple Juice""]",[0.91103506 0.61635125 0.5509695 ],0.91103506,0.11680876
Meat purge and cola share commonalities.,"['What Do Meat Purge and Cola Have in Common?', 'Phosphate Additives in Meat Purge and Cola', 'cola']",[0.9002517  0.60973483 0.5329789 ],0.9002517,0.20810694
What is Domoic acid?,"['domoic acid', 'lauric acid', 'methylmalonic acid']",[0.8955873  0.60659736 0.6054742 ],0.8955873,0.15192814
The duration needed to detox from fish before pregnancy is how long?,"['How Long to Detox From Fish Before Pregnancy?', 'How Long to Avoid Fish Before Conception?', 'How Fast Can Children Detoxify from PCBs?']",[0.96028453 0.8105688  0.5891213 ],0.96028453,0.15859434
Blood clots are what the query is referring to.,"['blood clots', 'platelets', 'internal bleeding']",[0.83476496 0.6006006  0.53525126],0.83476496,0.122437656
Blood clots can form in the body.,"['blood clots', 'platelets', 'internal bleeding']",[0.8358914 0.5402861 0.5143691],0.8358914,0.08687484
There is a presence of liver disease.,"['liver disease', 'liver health', 'cirrhosis']",[0.86097217 0.8298607  0.7530184 ],0.86097217,0.19950423
You can get rid of excess estrogen.,"['Relieving Yourself of Excess Estrogen', 'estrogen', 'Xenoestrogens & Early Puberty']",[0.7551029  0.55938625 0.5305201 ],0.7551029,0.11194964
"Serotonin is a hormone that affects mood, appetite, and sleep.","['serotonin', 'melatonin', 'A Better Way to Boost Serotonin']",[0.7754543  0.5862777  0.56013036],0.7754543,0.108480245
What is the function of cortisol?,"['cortisol', 'serotonin', 'dopamine']",[0.8057991  0.46267426 0.44909877],0.8057991,0.09407307
Different techniques used for preparing food.,"['cooking methods', 'Best Cooking Method', 'recipes']",[0.69411933 0.5629519  0.53857285],0.69411933,0.12617388
"Another study demonstrated that carnitine had positive effects on heart health, right?","[""Didn't another study show carnitine was good for the heart?"", 'Carnitine, Choline, Cancer and Cholesterol: The TMAO Connection', 'What about the INTERHEART study on heart attack risk factors?']",[0.9546555 0.6359421 0.5413793],0.9546555,0.15718184
Tumor supply lines are cut off through anti-angiogenesis.,"['Anti-Angiogenesis: Cutting Off Tumor Supply Lines', 'angiogenesis', 'Starving Tumors of Their Blood Supply']",[0.8858479 0.6613872 0.5731001],0.8858479,0.053687207
Believing in any scientific study is possible.,"['How can you believe in any scientific study?', 'Evidence-based medicine', 'Flawed Study Interpretation']",[0.81353927 0.47660363 0.43643928],0.81353927,0.06899217
The inability to hear.,"['deafness', 'speech impairment', 'hearing']",[0.8276752 0.6933119 0.5891398],0.8276752,0.13153836
Coconut milk has beneficial effects on health.,"['Is Coconut Milk Good For You?', 'coconut milk', 'Is Coconut Oil Good For You?']",[0.8696909 0.7356927 0.6773714],0.8696909,0.14180921
Broccoli enhances liver function for an extended period.,"['Prolonged Liver Function Enhancement From Broccoli', 'Broccoli Boosts Liver Detox Enzymes', 'Liver Toxicity Due to Broccoli Juice?']",[0.9562314 0.8572973 0.6952541],0.9562314,0.16277683
Subsidies are financial assistance given by the government or a governing body to support certain industries or individuals.,"['subsidies', 'Taxpayer Subsidies for Unhealthy Foods', 'Food Industry ""Funding Effect""']",[0.7233939  0.5632808  0.43291253],0.7233939,0.024065873
"Crib death refers to the sudden, unexpected death of an infant during sleep, also commonly known as Sudden Infant Death Syndrome (SIDS).","['crib death', 'Cow’s Milk Casomorphin and Crib Death', 'sudden cardiac death']",[0.8144305  0.5265924  0.46701372],0.8144305,0.023226876
Folic acid is being referred to.,"['folic acid', 'folate', 'Can Folic Acid Be Harmful?']",[0.90173507 0.7597714  0.7483201 ],0.90173507,0.20140661
Growth promoters are being sought without any modification to their intended effect.,"['growth promoters', 'biogenic amines', 'antiangiogenesis']",[0.80653816 0.46774036 0.4641637 ],0.80653816,0.11707324
What is the condition of deafness?,"['deafness', 'speech impairment', 'ear infections']",[0.85574555 0.66508806 0.5756273 ],0.85574555,0.10237745
The mystery of apthous ulcer is solved.,"['Apthous Ulcer Mystery Solved', 'aphthous ulcers', 'stomach ulcers']",[0.9258957  0.76028246 0.598329  ],0.9258957,0.1346485
Using diet as a treatment for an enlarged prostate can be effective.,"['Treating an Enlarged Prostate With Diet', 'prostate health', 'Flaxseeds for Prostate Cancer']",[0.9602494  0.64308304 0.60108596],0.9602494,0.14147316
Inflammatory Bowel Disease is related to Titanium Dioxide.,"['Titanium Dioxide & Inflammatory Bowel Disease', 'Should We Avoid Titanium Dioxide?', 'titanium dioxide']",[0.9730598 0.713833  0.6370319],0.9730598,0.15153249
Diet can help prevent cataracts.,"['Preventing Cataracts with Diet', 'Preserving Vision Through Diet', 'Preventing Macular Degeneration with Diet']",[0.9623704 0.7918167 0.7859366],0.9623704,0.14950821
Is eggnog a popular holiday drink?,"['eggnog', 'Egg McMuffin', 'The Healthiest Beverage']",[0.658594   0.44812155 0.43771243],0.658594,0.1342349
ECMO is an abbreviation for Extracorporeal Membrane Oxygenation.,"['ECMO', 'extracorporeal membranous oxygenation', 'endotoxemia']",[0.6550267  0.6311866  0.42878556],0.6550267,0.06912146
Do artificial colors have negative effects on your health?,"['Are Artificial Colors Bad for You?', 'Are Artificial Colors Harmful?', 'artificial colors']",[0.95324576 0.9346233  0.67673737],0.95324576,0.1534077
Spearmint is a type of herb.,"['spearmint', 'peppermint oil', 'peppermint']",[0.80215645 0.5501232  0.5417435 ],0.80215645,0.14593455
The neurobiology of artificial sweeteners is being investigated.,"['Neurobiology of Artificial Sweeteners', 'artificial sweeteners', 'A Harmless Artificial Sweetener']",[0.98538655 0.7688058  0.7440392 ],0.98538655,0.14395416
It is recommended to have Mercury Testing before pregnancy.,"['Mercury Testing Recommended Before Pregnancy', 'Hair Testing for Mercury Before Considering Pregnancy', 'Maternal Mercury Levels']",[0.94317997 0.8462709  0.77608526],0.94317997,0.07878931
It is possible to have faith in any scientific study.,"['How can you believe in any scientific study?', 'Evidence-based medicine', 'Evidence-Based Medicine or Evidence-Biased?']",[0.7288443  0.4063259  0.37683433],0.7288443,0.054921836
Hiroshima is referenced in the query.,"['Hiroshima', 'Nagasaki', 'Chernobyl']",[0.6934551  0.5907023  0.46970537],0.6934551,0.06857008
Diet can be used to prevent Ulcerative Colitis.,"['Preventing Ulcerative Colitis with Diet', 'Preventing Crohn’s Disease With Diet', 'Treating Crohn’s Disease With Diet']",[0.9592534 0.7283501 0.6962726],0.9592534,0.14063899
Does coffee have an impact on artery function?,"['Coffee and Artery Function', 'Does caffeine impair endothelial function in our arteries?', 'Dark Chocolate and Artery Function']",[0.89839816 0.84779525 0.640184  ],0.89839816,0.1452136
The Meat Industry Lawsuit is responsible for the presence of salmonella in chicken.,"['Chicken Salmonella Thanks to Meat Industry Lawsuit', 'Why Is Selling Salmonella-Tainted Chicken Legal?', 'Salmonella in Chicken & Turkey: Deadly But Not Illegal']",[0.9129748  0.71670437 0.6848445 ],0.9129748,0.11899276
Do multivitamins have any beneficial effects on your health?,"['Are Multivitamins Good For You?', 'Are Multivitamins Just a Waste of Money?', 'Should We Take a Multivitamin?']",[0.9391681  0.82307893 0.7847187 ],0.9391681,0.14053233
Childhood constipation is related to the consumption of cows milk.,"['Childhood Constipation and Cow’s Milk', 'Cow’s Milk Casomorphin, Crib Death, and Autism', 'Cow’s Milk Casomorphin and Crib Death']",[0.9485994  0.5757649  0.57186896],0.9485994,0.15212873
The person took an excessive amount of greens and possibly suffered from an overdose.,"['Overdosing on Greens', 'Overdosing on Poppy Seeds', 'food poisoning']",[0.7664214  0.4942653  0.49419594],0.7664214,0.19181025
What is the purpose of folic acid?,"['folic acid', 'Can Folic Acid Be Harmful?', 'folate']",[0.8149103  0.7551264  0.66185206],0.8149103,0.15818833
What is the duration for which a product can be stored without deteriorating in quality or becoming unsafe for consumption?,"['shelf life', 'The True Shelf Life of Cooking Oils', 'The True Shelf-Life of Cooking Oils']",[0.7545551  0.6546696  0.64734423],0.7545551,0.096689925
You can keep your hands warm with citrus.,"['Keeping Your Hands Warm With Citrus', 'How Citrus Might Help Keep Your Hands Warm', 'cold hands']",[0.90756696 0.8787494  0.62954974],0.90756696,0.13684031
Dr. Dean Ornishs name is what I am looking for.,"['Dr. Dean Ornish', 'Dr. William Clifford Roberts', 'Dr. David Spence']",[0.7701746 0.6155105 0.5868745],0.7701746,0.101391934
The Global Burden of Disease Study aims to determine the worldwide burden of diseases.,"['Global Burden of Disease Study', 'World Health Organization', 'Uprooting the Leading Causes of Death']",[0.9437691  0.61843276 0.5631585 ],0.9437691,0.11293817
Does white meat or dark meat contain a higher amount of antibiotics?,"['More Antibiotics In White Meat or Dark Meat?', 'How Does Meat Cause Inflammation?', 'What Is the Healthiest Meat?']",[0.93697965 0.5941572  0.5621729 ],0.93697965,0.17043608
What are industrial toxins?,"['industrial toxins', 'industrial pollutants', 'natural toxins']",[0.91333723 0.7978699  0.6775744 ],0.91333723,0.16472006
Can cortisol levels be affected by stress?,"['cortisol', 'stress test', 'hormonal dysfunction']",[0.68397427 0.5294256  0.49328327],0.68397427,0.08075295
Conflicts of Interest in the Academy of Nutrition and Dietetics.,"['Academy of Nutrition and Dietetics Conflicts of Interest', 'Academy of Nutrition and Dietetics', 'American Dietetic Association']",[0.9260136  0.67492676 0.6510141 ],0.9260136,0.17509077
Whats Fenugreek?,"['fenugreek', 'Side-Effect of Fenugreek Consumption', 'Benefits of Fenugreek Seeds']",[0.8465802 0.6595966 0.6241011],0.8465802,0.15841152
Dental X-Rays are safe.,"['Are Dental X-Rays Safe?', 'Do Dental X-Rays Cause Brain Tumors?', 'dental health']",[0.9217386 0.6790192 0.5111533],0.9217386,0.06045228
Is Hiroshima the name of a city?,"['Hiroshima', 'Nagasaki', 'Chernobyl']",[0.7675185  0.67749536 0.5134423 ],0.7675185,0.068039715
Fenugreek can be used to boost muscle strength.,"['Increasing Muscle Strength with Fenugreek', 'Benefits of Fenugreek Seeds', 'Side-Effect of Fenugreek Consumption']",[0.8983997  0.71639955 0.6442555 ],0.8983997,0.15076648
It is possible to eat healthy on a budget.,"['Eating Healthy on a Budget', 'Eating Healthy on the Cheap', 'The Healthiest Diet for Weight Control']",[0.87925124 0.83020765 0.49653295],0.87925124,0.0896325
Titanium dioxide is a substance.,"['titanium dioxide', 'Should We Avoid Titanium Dioxide?', 'Titanium Dioxide & Inflammatory Bowel Disease']",[0.8398367  0.7160878  0.52304244],0.8398367,0.07460704
How long does it take to detox from fish before pregnancy?,"['How Long to Detox From Fish Before Pregnancy?', 'How Long to Avoid Fish Before Conception?', 'How Fast Can Children Detoxify from PCBs?']",[0.9796901 0.7913452 0.5694022],0.9796901,0.12886387
Having excessive iodine can be equally detrimental as having insufficient iodine.,"['Too Much Iodine Can Be as Bad as Too Little', 'Avoiding Iodine Deficiency', 'Should we take iodine supplements?']",[0.84821606 0.7132329  0.688838  ],0.84821606,0.11815099
What is BMAA?,"['BMAA', 'American Public Health Association', 'BHA']",[0.5710951  0.40640223 0.36858308],0.5710951,0.09388256
What is the comparison between treating asthma with plants and treating asthma with supplements?,"['Treating Asthma With Plants vs. Supplements?', 'Treating Asthma With Plants vs. Pills', 'Treating Asthma With Fruits and Vegetables']",[0.9246825 0.8589499 0.673959 ],0.9246825,0.13736804
The calcium content in plants is being compared to that of cows.,"['Plant vs. Cow Calcium', 'Calcium Absorption: Soy Milk Versus Cow Milk', 'calcium']",[0.8628551  0.57056946 0.5221756 ],0.8628551,0.13747141
It is advisable for diabetics to regularly monitor their pulses.,"['Diabetics Should Take Their Pulses', 'Lifestyle Medicine Is the Standard of Care for Prediabetes', 'blood sugar']",[0.88939166 0.53485084 0.46562937],0.88939166,0.063390754
The aim is to prevent or reduce the consumption of cooked meat carcinogens.,"['Avoiding Cooked Meat Carcinogens', 'Reducing Cancer Risk In Meateaters', 'Estrogenic Cooked Meat Carcinogens']",[0.742306   0.72093976 0.67990184],0.742306,0.189476
Can you give me a recipe for healthy chocolate milkshakes?,"['Healthy Chocolate Milkshakes', 'Healthiest Chocolate Fix', 'milk chocolate']",[0.8311797  0.59029937 0.5361529 ],0.8311797,0.13832305
What is the safe amount of alcohol for breast cancer?,"['Breast Cancer & Alcohol: How Much is Safe?', 'Breast Cancer and Alcohol: How Much is Safe?', 'Breast Cancer and Wine']",[0.93012327 0.9110475  0.7058925 ],0.93012327,0.118124776
Is D3 (cholecalciferol) more preferred than D2 (ergocalciferol)?,"['Is vitamin D3 (cholecalciferol) preferable to D2 (ergocalciferol)?', 'Is Vitamin D3 Better Than D2?', 'Is Vitamin D the New Vitamin E?']",[0.90325826 0.70160055 0.5197399 ],0.90325826,0.13328621
Amnesia is a condition characterized by memory loss.,"['amnesia', 'Alzheimer’s disease', 'dementia']",[0.63282096 0.5254283  0.48970193],0.63282096,0.06632995
Do artificial food colors cause ADHD?,"['Artificial Food Colors and ADHD', 'Food Dyes and ADHD', 'Are Artificial Colors Bad for You?']",[0.95467716 0.8841024  0.71262527],0.95467716,0.15420762
Milk and mucus being a myth is being questioned.,"['Is Milk and Mucus a Myth?', 'mucus', 'Childhood Constipation and Cow’s Milk']",[0.9408316 0.5966567 0.5605246],0.9408316,0.15946433
Is it necessary to avoid titanium dioxide as a personal choice?,"['Should We Avoid Titanium Dioxide?', 'titanium dioxide', 'Titanium Dioxide & Inflammatory Bowel Disease']",[0.92897975 0.6848185  0.6577705 ],0.92897975,0.10513252
Kuna Indian secret.,"['Kuna Indian Secret', 'Kuna Indians', 'tahini']",[0.9651012  0.68588823 0.43903524],0.9651012,0.121387854
It is recommended to undergo mercury testing before pregnancy.,"['Mercury Testing Recommended Before Pregnancy', 'Hair Testing for Mercury Before Considering Pregnancy', 'Maternal Mercury Levels']",[0.94648904 0.84770834 0.77732694],0.94648904,0.07153376
What is the atomic number for sulfur?,"['sulfur', 'hydrogen sulfide', 'sulfur dioxide']",[0.6658652 0.6374779 0.5931988],0.6658652,0.08193522
The person is experiencing breast pain.,"['breast pain', 'Treating Breast Pain With Diet', 'breast health']",[0.7860911  0.70171076 0.6796397 ],0.7860911,0.07890322
Chernobyl was a disastrous nuclear accident that occurred in Ukraine.,"['Chernobyl', 'Fukushima', 'Fukushima Radiation and Seafood']",[0.8139536  0.5801588  0.45806533],0.8139536,0.06165905
What is kohlrabi?,"['kohlrabi', 'kombu', 'kombucha tea']",[0.8352511  0.48071253 0.40093723],0.8352511,0.11541439
Ascorbic acid is a type of compound.,"['ascorbic acid', 'stearic acid', 'citric acid']",[0.8608221  0.534217   0.52324784],0.8608221,0.12293968
Do you have an opinion on Dr. Jenkins perspective on paleolithic diets?,"[""What do you think of Dr. Jenkins' take on paleolithic diets?"", 'paleolithic diets', 'The Real Paleo Diet']",[0.9812206  0.62831616 0.5589746 ],0.9812206,0.15765932
The Academy of Nutrition and Dietetics has conflicts of interest.,"['Academy of Nutrition and Dietetics Conflicts of Interest', 'Academy of Nutrition and Dietetics', 'American Dietetic Association']",[0.93440616 0.66951597 0.6382601 ],0.93440616,0.17249355
There is clinical evidence supporting the relationship between flaxseeds and breast cancer survival.,"['Flaxseeds & Breast Cancer Survival: Clinical Evidence', 'Flaxseeds & Breast Cancer Survival: Epidemiological Evidence', 'Flaxseeds & Breast Cancer Prevention']",[0.9819771  0.96158326 0.94582725],0.9819771,0.18712315
What is the meaning of DHA?,"['DHA', 'DHEA', 'HDL cholesterol']",[0.80975246 0.63552177 0.47523305],0.80975246,0.14738436
What is Polypropylene plastic?,"['polypropylene plastic', 'polyethylene plastic', 'polycarbonate plastic']",[0.8351306  0.76717603 0.7299565 ],0.8351306,0.08756435
A parasite known as the tongue worm.,"['tongue worm', 'Tongue Worm in Human Eye', 'tapeworms']",[0.83287156 0.7190677  0.6419106 ],0.83287156,0.14206952
A hernia is a medical condition characterized by a protrusion of an organ or tissue through a weak spot in the surrounding muscle or connective tissue.,"['hernia', 'hiatal hernia', 'abdominal fat']",[0.7501925  0.6587542  0.40413642],0.7501925,0.041872818
The tongue worm is a type of parasite.,"['tongue worm', 'Tongue Worm in Human Eye', 'tapeworms']",[0.8643137  0.76699835 0.60662925],0.8643137,0.08244034
The Philippines is a country that is located in Southeast Asia.,"['philippines', 'Asia', 'Indonesia']",[0.7018767  0.5018271  0.49907857],0.7018767,0.037448846
Milk is being spoken about.,"['milk', 'rice milk', 'organic milk']",[0.75515157 0.6572802  0.62467253],0.75515157,0.14206932
What is the meaning of ECMO?,"['ECMO', 'edamame', 'EEG']",[0.8061559  0.37146813 0.3668297 ],0.8061559,0.06738369
Heart disease in childhood can be prevented or controlled.,"['Stopping Heart Disease in Childhood', 'Heart Disease Starts in Childhood', 'How to Prevent Heart Disease']",[0.9390066  0.78699195 0.6994206 ],0.9390066,0.10583635
Lard is a type of fat.,"['lard', 'animal fat', 'saturated fat']",[0.76094556 0.536307   0.50011146],0.76094556,0.12780242
What are the risks and benefits of alcohol?,"['Alcohol Risks vs. Benefits', 'alcohol', 'Breast Cancer and Alcohol: How Much is Safe?']",[0.81729805 0.5318033  0.5220516 ],0.81729805,0.12875275
What is Rutin?,"['Rutin', 'limonin', 'rosmarinic acid']",[0.7683357  0.4940446  0.47873917],0.7683357,0.16082506
How does diet affect cellulite?,"['Diet and Cellulite', 'Can Cellulite Be Treated With Diet?', 'cellulite']",[0.8545583 0.8070272 0.5933582],0.8545583,0.16573283
Do chronic headaches relate to pork tapeworms?,"['Chronic Headaches and Pork Tapeworms', 'Chronic Headaches and Pork Parasites', 'Pork Tapeworms on the Brain']",[0.9493151  0.82584333 0.78994286],0.9493151,0.1414291
The bacon is enriched in Vitamin C.,"['Vitamin C-Enriched Bacon', 'veggie bacon', 'bacon']",[0.90639734 0.66713625 0.62811494],0.90639734,0.19068375
Black raspberries are being asked about.,"['black raspberries', 'blackberries', 'raspberries']",[0.85702515 0.7311091  0.7213135 ],0.85702515,0.1252682
Adenovirus 36 is associated with infectobesity in children.,"['Infectobesity: Adenovirus 36 and Childhood Obesity', 'adenovirus 36', ""Marek's disease virus""]",[0.8705674  0.78624284 0.43672627],0.8705674,0.05468418
Quinine is a substance.,"['quinine', 'substance P', 'quinoa']",[0.7658464  0.49290583 0.4655789 ],0.7658464,0.13019484
What is Alli?,"['Alli', 'Institute of Medicine', 'STARI']",[0.798064   0.4231701  0.42314982],0.798064,0.118648335
Stevia is a plant-based sweetener.,"['stevia', 'Is Stevia Good For You?', 'artificial sweeteners']",[0.7604963 0.7370043 0.6412742],0.7604963,0.14613694
What is lyme disease?,"['lyme disease', 'tick bites', ""Lou Gehrig's disease""]",[0.90384585 0.49078572 0.47933275],0.90384585,0.1012051
The veggie chicken is a type of food.,"['veggie chicken', 'Chicken vs. Veggie Chicken', 'veggie burgers']",[0.8522816 0.796234  0.6251919],0.8522816,0.1327887
To what extent are we chemically contaminated?,"['How Chemically Contaminated Are We?', 'How Contaminated Are Our Children?', '\ufeffCDC Report on Environmental Chemical Exposure']",[0.9634774 0.6739342 0.6368051],0.9634774,0.12806371
Please provide an update on Herbalife®.,"['Update on Herbalife®', 'Herbalife', 'Health Food Store Supplement Advice']",[0.95622575 0.7621294  0.51235944],0.95622575,0.15402314
Plants contain neurotransmitters found in humans.,"['Human Neurotransmitters in Plants', 'Preventing Alzheimer’s Disease With Plants', 'Our Immune System Uses Plants To Activate Gut Protection']",[0.884482  0.5603547 0.5485138],0.884482,0.1252934
Childhood is where heart disease begins.,"['Heart Disease Starts in Childhood', 'Stopping Heart Disease in Childhood', 'Blocking the First Step of Heart Disease']",[0.92481685 0.79128075 0.6045604 ],0.92481685,0.115893945
Mouth cancer is a type of cancer affecting the oral cavity.,"['oral cancer', 'mouth cancer', 'tongue cancer']",[0.80842537 0.7763551  0.695963  ],0.80842537,0.091781095
What is the healthiest beverage served on airplanes?,"['Healthiest Airplane Beverage', 'The Healthiest Beverage', 'The Healthiest Beverage']",[0.9006729 0.713102  0.713102 ],0.9006729,0.1907903
The comparison is between caloric restriction and plant-based diets.,"['Caloric Restriction vs. Plant-Based Diets', 'Caloric Restriction vs. Animal Protein Restriction', 'The Benefits of Caloric Restriction Without the Actual Restricting']",[0.8019141 0.7028828 0.6387595],0.8019141,0.13626249
What are organotins?,"['organotins', 'organochlorines', 'adiponectin']",[0.8846779  0.5004915  0.47524515],0.8846779,0.13491209
What are the healthiest vegetables?,"['The Healthiest Vegetables', 'The Healthiest Fruits', 'vegetables']",[0.929182   0.6921266  0.67717314],0.929182,0.1827726
Fat toxicity contributes to the development of diabetes as a disease.,"['Diabetes as a Disease of Fat Toxicity', 'Lipotoxicity: How Saturated Fat Raises Blood Sugar', 'Dioxins Stored in Our Own Fat May Increase Diabetes Risk']",[0.93765855 0.72641176 0.72060096],0.93765855,0.10805474
Halibut is a type of fish.,"['halibut', 'fish', 'herring']",[0.8602187  0.45273095 0.4522745 ],0.8602187,0.105090246
"""Do poultry workers perform their tasks efficiently?""","['poultry workers', 'poultry', 'Chicken Big: Poultry and Obesity']",[0.7135191  0.58244693 0.5445616 ],0.7135191,0.1100039
Japan is a country in East Asia.,"['Japan', 'Asia', 'Asian Paradox']",[0.6763489 0.5005982 0.4591859],0.6763489,0.024491128
The state of ones muscles in terms of their well-being and functionality.,"['muscle health', 'sports medicine', 'muscle disease']",[0.6198971  0.52997434 0.52930987],0.6198971,0.10338897
Arriving at a Vitamin D Recommendation is a challenging task.,"['The Difficulty of Arriving at a Vitamin D Recommendation', 'Vitamin D: Shedding some light on the new recommendations', 'How the Institute of Medicine Arrived at Their Vitamin D Recommendation']",[0.9215651  0.82322204 0.7870184 ],0.9215651,0.17998207
The state of ones muscles is important for overall well-being.,"['muscle health', 'muscle strength', 'muscle disease']",[0.7104473  0.5337086  0.52367014],0.7104473,0.075554214
Amyloid is related to apple juice.,"['Amyloid and Apple Juice', ""Alzheimer's and Apple Juice"", 'Apples & Breast Cancer']",[0.9442842 0.8084539 0.5563774],0.9442842,0.1917928
Broccoli enhances liver function for a long period of time.,"['Prolonged Liver Function Enhancement From Broccoli', 'Broccoli Boosts Liver Detox Enzymes', 'Liver Toxicity Due to Broccoli Juice?']",[0.94446844 0.8500807  0.6929646 ],0.94446844,0.17030545
What is Phytic acidng?,"['phytic acid', 'uric acid', 'pH']",[0.81889176 0.5991672  0.58340716],0.81889176,0.15597789
Walnut oil is what is being referred to.,"['walnut oil', 'almond oil', 'hazelnut oil']",[0.88592017 0.7036705  0.69600105],0.88592017,0.18269166
An aneurysm is what condition?,"['aneurysm', 'aortic aneurysm', 'abdominal aortic aneurysm']",[0.7981597 0.7196296 0.6245527],0.7981597,0.10175303
